,unverheiratet,lieben,lieben,perfekt,erzählen,töten,perfekt,töten,lieben,Marseille,Schiff,Feld,lieben,Leutnant,Gewehr,nachdenken,lieben,streicheln,Tochter,einzigartig,Fürst,Vorhang,wahnsinnig,einzigartig,perfekt,Unwetter
00218-00,0.0,0.00012919896640826872,0.00011484352569623887,0.00015790984783232845,1.4355440712029859e-05,1.4355440712029859e-05,0.00015790984783232845,1.4355440712029859e-05,0.00011484352569623887,0.0,0.0,1.4355440712029859e-05,0.00012919896640826872,0.0,0.0,0.00011484352569623887,0.00011484352569623887,2.8710881424059718e-05,2.8710881424059718e-05,0.00011484352569623887,2.8710881424059718e-05,4.3066322136089577e-05,5.7421762848119435e-05,0.00011484352569623887,0.00015790984783232845,1.4355440712029859e-05
00558-00,5.1940372452424615e-06,7.924236310049397e-05,3.662462160106864e-05,6.3926612249138e-05,1.158669847015626e-05,2.4771562246540972e-05,6.3926612249138e-05,1.7446637926327243e-05,3.662462160106864e-05,4.261774149942532e-06,6.659022109285208e-06,4.7145876533739265e-05,8.203915238639375e-05,2.796789285899787e-06,7.857646088956545e-06,5.713440969766708e-05,3.6358260716697234e-05,2.5570644899655197e-05,8.017462619579389e-05,4.235138061505392e-05,2.024342721222703e-05,8.39036785769936e-06,3.422737364172597e-05,4.235138061505392e-05,6.3926612249138e-05,4.528135034313941e-06
00486-00,7.643506840938623e-06,0.00010700909577314071,6.688068485821294e-05,0.0001031873423526714,5.732630130703967e-06,5.15936711763357e-05,0.0001031873423526714,1.3376136971642589e-05,6.688068485821294e-05,3.0574027363754494e-05,2.1019643812581212e-05,6.87915615684476e-05,0.00010700909577314071,5.732630130703967e-06,2.8663150653519834e-05,4.7771917755866394e-05,7.452419169915157e-05,1.71978903921119e-05,6.114805472750899e-05,7.452419169915157e-05,0.00011274172590384468,1.3376136971642589e-05,4.2039287625162425e-05,7.452419169915157e-05,0.0001031873423526714,1.910876710234656e-06
00524-00,1.3118194936376754e-05,0.0001536702835404134,0.00012930792151571373,0.00017241056202095163,1.8740278480538221e-06,1.3118194936376754e-05,0.00017241056202095163,1.4992222784430577e-05,0.00012930792151571373,1.1244167088322932e-05,2.0614306328592042e-05,0.0,0.0001536702835404134,0.0,0.0,0.0001180637544273908,0.00013305597721182137,5.622083544161466e-06,9.37013924026911e-05,0.00013118194936376755,5.622083544161466e-06,0.0,3.748055696107644e-05,0.00013118194936376755,0.00017241056202095163,1.68662506324844e-05
00409-00,6.148359924990009e-06,9.068830889360263e-05,3.0741799624950045e-05,4.611269943742507e-05,9.222539887485013e-06,3.996433951243506e-05,4.611269943742507e-05,2.766761966245504e-05,3.0741799624950045e-05,1.5370899812475022e-06,4.611269943742507e-06,1.8445079774970027e-05,9.068830889360263e-05,2.766761966245504e-05,2.6130529681207538e-05,6.148359924990009e-05,3.6890159549940053e-05,9.222539887485013e-06,0.00011681883857481017,3.842724953118756e-05,3.381597958744505e-05,0.0,3.381597958744505e-05,3.842724953118756e-05,4.611269943742507e-05,6.148359924990009e-06
00241-00,3.7471896077941544e-05,0.00015821467232908653,7.494379215588309e-05,9.576151219918395e-05,2.91448080606212e-05,9.576151219918395e-05,9.576151219918395e-05,1.2490632025980514e-05,7.494379215588309e-05,4.163544008660171e-05,4.163544008660171e-06,4.163544008660171e-05,0.00015821467232908653,9.576151219918395e-05,0.0,8.327088017320343e-05,7.494379215588309e-05,2.498126405196103e-05,0.00021650428845032893,7.910733616454326e-05,4.163544008660171e-06,1.2490632025980514e-05,4.996252810392206e-05,7.910733616454326e-05,9.576151219918395e-05,4.163544008660171e-06
00251-00,0.0,5.135813741154988e-05,4.565167769915544e-05,7.608612949859241e-05,2.0923685612112913e-05,3.423875827436658e-05,7.608612949859241e-05,2.8532298561972153e-05,4.565167769915544e-05,0.0,7.608612949859241e-06,0.00011412919424788861,5.135813741154988e-05,5.70645971239443e-06,1.3315072662253671e-05,4.565167769915544e-05,3.994521798676101e-05,2.282583884957772e-05,1.3315072662253671e-05,4.374952446169063e-05,1.9021532374648102e-06,3.8043064749296205e-06,2.8532298561972153e-05,4.374952446169063e-05,7.608612949859241e-05,7.608612949859241e-06
00439-00,0.0,7.48502994011976e-05,4.99001996007984e-05,9.98003992015968e-05,2.49500998003992e-05,0.0,9.98003992015968e-05,0.0,4.99001996007984e-05,0.0,0.0,0.0,7.48502994011976e-05,0.0,2.49500998003992e-05,0.0,4.99001996007984e-05,0.0,2.49500998003992e-05,9.98003992015968e-05,0.0,0.0,4.99001996007984e-05,9.98003992015968e-05,9.98003992015968e-05,2.49500998003992e-05
00661-00,1.2303300975651767e-06,7.135914565878025e-05,3.3629022666781496e-05,5.700529452051986e-05,1.0662860845564864e-05,2.2145941756173183e-05,5.700529452051986e-05,2.7887482211477338e-05,3.3629022666781496e-05,3.6909902926955304e-06,1.1072970878086591e-05,3.239869256921632e-05,7.258947575634543e-05,2.4606601951303534e-06,2.8297592243999065e-05,7.135914565878025e-05,3.649979289443358e-05,1.9685281561042827e-05,4.1011003252172556e-05,2.7067262146433887e-05,8.202200650434512e-06,3.0348142406607694e-05,5.29041941953026e-05,2.7067262146433887e-05,5.700529452051986e-05,1.2713411008173493e-05
00506-00,1.4721758759446461e-05,0.00013086007786174632,6.0522786011057674e-05,6.0522786011057674e-05,8.178754866359145e-06,1.4721758759446461e-05,6.0522786011057674e-05,1.1450256812902804e-05,6.0522786011057674e-05,0.0,1.6357509732718292e-06,7.524454477050414e-05,0.00012758857591520267,6.543003893087317e-06,3.2715019465436584e-06,5.7251284064514015e-05,5.0708280171426704e-05,3.92580233585239e-05,0.00020119736971243497,5.561553309124219e-05,4.5801027251611216e-05,8.178754866359145e-06,3.435077043870841e-05,5.561553309124219e-05,6.0522786011057674e-05,3.2715019465436584e-06
