documente_id,Jahr_ED,genre_label_normalized,
00000-00,1897,E,
00001-00,1897,E,
00002-00,1897,E,
00003-00,1897,XE,
00004-00,1897,XE,
00005-00,1897,XE,
00006-00,1897,XE,
00007-00,1827,N,
00008-00,1870,,
00009-00,1871,XE,
00010-00,1871,,
00011-00,1871,,
00012-00,1872,N,
00013-00,1837,N,
00014-00,1827,N,
00015-00,1826,N,
00016-00,1797,M,
00017-00,1822,N,
00018-00,1821,N,
00019-00,1797,M,
00020-00,1824,N,
00021-00,1831,N,
00022-00,1838,N,
00023-00,1795,XE,
00024-00,1796,0E,
00025-00,1830,N,
00026-00,1829,N,
00027-00,1830,N,
00028-00,1830,N,
00029-00,1831,N,
00030-00,1831,N,
00031-00,1799,0E,
00032-00,1804,0E,
00033-00,1812,0E,
00034-00,1812,0E,
00035-00,1812,0E,
00036-00,1827,0E,
00037-00,1809,N,
00038-00,1809,N,
00039-00,1809,N,
00040-00,1827,N,
00041-00,1824,N,
00042-00,1816,M,
00043-00,1818,0E,
00044-00,1817,0E,
00045-00,1822,E,
00046-00,1847,E,
00047-00,1842,XE,
00048-00,1855,N,
00049-00,1871,0E,
00050-00,1801,N,
00051-00,1799,R,
00052-00,1781,N,
00053-00,1841,N,
00054-00,1841,N,
00055-00,1838,0,
00056-00,1820,0,
00057-00,1820,V ,
00058-00,1820,V,
00059-00,1820,E,
00060-00,1820,E,
00061-00,1820,V,
00062-00,1820,0P,
00063-00,1820,0P,
00064-00,1820,V,
00065-00,1820,V,
00066-00,1820,V,
00067-00,1820,V,
00068-00,1820,V,
00069-00,1820,Drama,
00070-00,1820,Lyrik,
00071-00,1821,0P,
00072-00,1821,E,
00073-00,1821,0P,
00074-00,1821,0P,
00075-00,1821,E,
00076-00,1822,0E,
00077-00,1822,0P,
00078-00,1822,0P,
00079-00,1822,E,
00080-00,1822,N,
00081-00,1822,N,
00082-00,1823,E,
00083-00,1823,E,
00084-00,1823,XE,
00085-00,1830,0E,
00086-00,1825,XE,
00087-00,1825,0E,
00088-00,1829,E,
00089-00,1829,V ,
00090-00,1829,N,
00091-00,1829,N,
00092-00,1814,E,
00093-00,1814,E,
00094-00,1814,E,
00095-00,1814,0E,
00096-00,1815,0E,
00097-00,1815,XE,
00098-00,1821,E,
00099-00,1821,E,
00100-00,1821,E,
00101-00,1821,E,
00102-00,1830,N,
00103-00,1830,Drama,
00104-00,1830,0E,
00105-00,1810,N,
00106-00,1874,0E,
00107-00,1886,XE,
00108-00,1842,N,
00109-00,1843,N,
00110-00,1843,XE,
00111-00,1845,0E,
00112-00,1877,XE,
00113-00,1899,0E,
00114-00,1899,0E,
00115-00,1828,N,
00116-00,1866,N,
00117-00,1831,N,
00118-00,1831,E,
00119-00,1830,N,
00120-00,1830,E,
00121-00,1820,0E,
00122-00,1820,E,
00123-00,1820,E,
00124-00,1820,E,
00125-00,1822,E,
00126-00,1822,E,
00127-00,1822,E,
00128-00,1822,0E,
00129-00,1822,E,
00130-00,1822,N,
00131-00,1823,E,
00132-00,1823,E,
00133-00,1823,E,
00134-00,1823,0E,
00135-00,1834,N,
00136-00,1834,N,
00137-00,1834,0E,
00138-00,1835,N,
00139-00,1835,N,
00140-00,1835,N,
00141-00,1824,E,
00142-00,1824,E,
00143-00,1825,N,
00144-00,1825,N,
00145-00,1825,E,
00146-00,1825,0E,
00147-00,1826,E,
00148-00,1826,0E,
00149-00,1826,E,
00150-00,1840,N,
00151-00,1840,N,
00152-00,1840,E,
00153-00,1840,N,
00154-00,1827,0E,
00155-00,1827,N,
00156-00,1827,XE,
00157-00,1827,0E,
00158-00,1827,E,
00159-00,1840,N,
00160-00,1840,N,
00161-00,1840,XE,
00162-00,1840,N,
00163-00,1819,0E,
00164-00,,,
00165-00,,,
00166-00,1827,N,
00167-00,1827,0E,
00168-00,1827,,
00169-00,1827,,
00170-00,1827,,
00171-00,1827,,
00172-00,1827,,
00173-00,1827,,
00174-00,1827,,
00175-00,1827,,
00176-00,1827,,
00177-00,1828,E,
00178-00,1828,N,
00179-00,1828,XE,
00180-00,1828,0E,
00181-00,1828,0E,
00182-00,1828,0E,
00183-00,1829,0E,
00184-00,1827,N,
00185-00,1830,0E,
00186-00,1829,E,
